"","Sample","Proportion","Ct","OTU"
"314","X60C","0","26.07","contaminants"
"315","X60M","5e-04","27.97","contaminants"
"316","X61C","0","26.29","contaminants"
"317","X62C","0","24.71","contaminants"
"318","X62M","0.04","31.1","contaminants"
"319","X64C","0","21.76","contaminants"
"320","X65M","0","26.97","contaminants"
"321","X66C","0","23.33","contaminants"
"322","X66M","0.22625","36.36","contaminants"
"323","X67C","0","26.99","contaminants"
"324","X68C","0","26.1","contaminants"
"325","X69C","0","23.03","contaminants"
"326","X69M","0","23.43","contaminants"
"327","X70C","0","18.86","contaminants"
"328","X71C","0","25.68","contaminants"
"329","X71M","0.55875","33.79","contaminants"
"330","X72C","0","21.47","contaminants"
"331","X72M","0","32.94","contaminants"
"332","X73C","0","22.85","contaminants"
"333","X74C","0.001","25.92","contaminants"
"334","X75C","0","21.34","contaminants"
"335","X76C","0","21.68","contaminants"
"336","X77C","0","23.29","contaminants"
"337","X77M","0","27.87","contaminants"
"338","X79C","0","24.47","contaminants"
"339","X80C","0.0065","29.4","contaminants"
